 2017-05-28 09:43:04,789 DEBUG [main]: Excavator [workDate=2017-02-27, income=0.0, expend=95.0, category=维修保养, location=null, comment=黄油嘴, balance=9655.0, amount=1.0, unitPrice=95.0, fraction=0.0, grossProfitRate=0.0, grossProfit=0.0]
 2017-05-28 09:43:04,789 DEBUG [main]: Excavator [workDate=2017-02-27, income=0.0, expend=145.0, category=维修保养, location=null, comment=油漆, balance=9510.0, amount=1.0, unitPrice=145.0, fraction=0.0, grossProfitRate=0.0, grossProfit=0.0]
 2017-05-28 09:43:04,790 DEBUG [main]: Excavator [workDate=2017-02-27, income=0.0, expend=120.0, category=维修保养, location=null, comment=车灯, balance=9390.0, amount=1.0, unitPrice=120.0, fraction=0.0, grossProfitRate=0.0, grossProfit=0.0]
 2017-05-28 09:43:04,791 DEBUG [main]: Excavator [workDate=2017-02-27, income=0.0, expend=20.0, category=维修保养, location=null, comment=清洗剂, balance=9370.0, amount=1.0, unitPrice=20.0, fraction=0.0, grossProfitRate=0.0, grossProfit=0.0]
 2017-05-28 09:43:04,791 DEBUG [main]: Excavator [workDate=2017-02-27, income=0.0, expend=120.0, category=维修保养, location=null, comment=底铁板, balance=9250.0, amount=1.0, unitPrice=120.0, fraction=0.0, grossProfitRate=0.0, grossProfit=0.0]
 2017-05-28 09:43:04,793 DEBUG [main]: Excavator [workDate=2017-02-27, income=0.0, expend=3600.0, category=维修保养, location=null, comment=维修费, balance=5650.0, amount=1.0, unitPrice=3600.0, fraction=0.0, grossProfitRate=0.0, grossProfit=0.0]
 2017-05-28 09:43:04,793 DEBUG [main]: Excavator [workDate=2017-02-28, income=0.0, expend=160.0, category=维修保养, location=null, comment=餐费, balance=5490.0, amount=1.0, unitPrice=160.0, fraction=0.0, grossProfitRate=0.0, grossProfit=0.0]
 2017-05-28 09:43:04,794 DEBUG [main]: Excavator [workDate=2017-03-02, income=0.0, expend=40.0, category=维修保养, location=null, comment=餐费, balance=5450.0, amount=1.0, unitPrice=40.0, fraction=0.0, grossProfitRate=0.0, grossProfit=0.0]
 2017-05-28 09:43:04,794 DEBUG [main]: Excavator [workDate=2017-03-05, income=0.0, expend=3700.0, category=维修保养, location=null, comment=换大背轴, balance=1750.0, amount=1.0, unitPrice=3700.0, fraction=0.0, grossProfitRate=0.0, grossProfit=0.0]
 2017-05-28 09:43:04,794 DEBUG [main]: Excavator [workDate=2017-03-05, income=0.0, expend=100.0, category=维修保养, location=null, comment=水管, balance=1650.0, amount=1.0, unitPrice=100.0, fraction=0.0, grossProfitRate=0.0, grossProfit=0.0]
 2017-05-28 09:43:04,795 DEBUG [main]: Excavator [workDate=2017-03-08, income=500.0, expend=0.0, category=拖车费, location=四化建, comment=null, balance=2150.0, amount=1.0, unitPrice=500.0, fraction=0.0, grossProfitRate=0.0, grossProfit=0.0]
 2017-05-28 09:43:04,796 DEBUG [main]: Excavator [workDate=2017-03-08, income=4329.0, expend=0.0, category=装车, location=四化建, comment=null, balance=6479.0, amount=117.0, unitPrice=37.0, fraction=0.0, grossProfitRate=0.0, grossProfit=0.0]
 2017-05-28 09:43:04,798 DEBUG [main]: Excavator [workDate=2017-03-08, income=600.0, expend=0.0, category=台班, location=四化建, comment=null, balance=7079.0, amount=1.0, unitPrice=600.0, fraction=0.0, grossProfitRate=0.0, grossProfit=0.0]
